capacity_max|Maximum capacity (number of people)|number|person
product_ty_attr_234|Renk sıcaklığı|enum|
product_ty_attr_236|Saat Tipi|enum|
product_ty_attr_238|Sayfa Sayısı|enum|
product_ty_attr_239|Sayfa Tipi|enum|
product_ty_attr_24|Dahili Hafıza|enum|
product_ty_attr_240|Sertlik|enum|
product_ty_attr_244|Sırt Tipi|enum|
product_ty_attr_245|Soğutma Kapasitesi|enum|
product_ty_attr_246|Trendyol Özellik 246|enum|
product_ty_attr_247|Soğutucu Tipleri|enum|
product_ty_attr_249|SSD Kapasitesi|enum|
product_ty_attr_25|Kamera Çözünürlüğü|enum|
product_ty_attr_250|Stil|enum|
product_ty_attr_251|Su Geçirmezlik|enum|
product_ty_attr_253|Su Tüketimi|enum|
product_ty_attr_255|Taban|enum|
product_ty_attr_256|Taban Teknolojisi|enum|
product_ty_attr_257|Taban Tipi|enum|
product_ty_attr_258|Takma Şekli|enum|
product_ty_attr_259|Tasarım|enum|
product_ty_attr_26|Trendyol Özellik 26|enum|
product_ty_attr_260|Taş Cinsi|enum|
product_ty_attr_261|Taşıma Kapasitesi|enum|
product_ty_attr_263|Tekerlek Sayısı|enum|
product_ty_attr_264|Tel Tipi|enum|
product_ty_attr_265|Tipi|enum|
product_ty_attr_266|Toplam Hacim|enum|
product_ty_attr_267|Topuk Tipi|enum|
product_ty_attr_268|Tuş Düzeni|enum|
product_ty_attr_270|Türü|enum|
product_ty_attr_271|Uzunluk|enum|
product_ty_attr_274|Trendyol Özellik 274|enum|
product_ty_attr_277|Yakıt Tipi|enum|
product_ty_attr_279|Yaş|enum|
product_ty_attr_28|İşletim Sistemi|enum|
product_ty_attr_281|Yatak Cinsi|enum|
product_ty_attr_282|Trendyol Özellik 282|enum|
product_ty_attr_283|Yazma Hızı|enum|
product_ty_attr_284|Yıkama Sayısı|enum|
product_ty_attr_286|Yükseklik|enum|
product_ty_attr_29|Görüntü Teknolojisi|enum|
product_ty_attr_290|Garanti Tipi|enum|
product_ty_attr_292|Cep Telefonu Modeli|enum|
product_ty_attr_293|Cam Renk|enum|
product_ty_attr_294|Bez Bedeni|enum|
product_ty_attr_298|Çerçeve Renk|enum|
product_ty_attr_3|Cam Tipi|enum|
product_ty_attr_30|Trendyol Özellik 30|enum|
product_ty_attr_301|Ekran Kartı|enum|
product_ty_attr_302|Kasa Renk|enum|
product_ty_attr_303|Kordon Renk|enum|
product_ty_attr_305|RAM Hızı|enum|
product_ty_attr_306|Ekran Kartı Bellek Tipi|enum|
product_ty_attr_307|Soket Tipi|enum|
product_ty_attr_308|Uyumlu Sistemler|enum|
product_ty_attr_31|Trendyol Özellik 31|enum|
product_ty_attr_310|Arttırılabilir Azami Bellek|enum|
product_ty_attr_311|Ram (Sistem Belleği) Tipi|enum|
product_ty_attr_314|Çanta Tipi|enum|
product_ty_attr_315|Çözünürlük Standartı|enum|
product_ty_attr_316|Ekran Yenilenme Hızı|enum|
product_ty_attr_317|Eldiven Tipi|enum|
product_ty_attr_318|İşlemci Çekirdek Sayısı|enum|
product_ty_attr_32|Model|enum|
product_ty_attr_320|İşlemci Nesli|enum|
product_ty_attr_321|Trendyol Özellik 321|enum|
product_ty_attr_322|Kask Tipi|enum|
product_ty_attr_324|Kontrol Tipi|enum|
product_ty_attr_325|Trendyol Özellik 325|enum|
product_ty_attr_327|Mont Tipi|enum|
product_ty_attr_329|Optik Sürücü Tipi|enum|
product_ty_attr_33|Desen|enum|
product_ty_attr_330|Panel Tipi|enum|
product_ty_attr_332|Şarjlı Kullanım Süresi|enum|
product_ty_attr_334|Trendyol Özellik 334|enum|
product_ty_attr_335|Tıraş Bölgesi|enum|
product_ty_attr_336|Yedek Parça Tipi|enum|
product_ty_attr_337|Trendyol Özellik 337|enum|
product_ty_attr_338|Beden|enum|
product_ty_attr_339|Trendyol Özellik 339|enum|
product_ty_attr_34|Tip|enum|
product_ty_attr_340|Trendyol Özellik 340|enum|
product_ty_attr_341|Tutuculuk / Sertlik|enum|
product_ty_attr_342|Ürün Tipi|enum|
product_ty_attr_344|Yazar|enum|
product_ty_attr_348|Renk|enum|
product_ty_attr_349|Trendyol Özellik 349|enum|
product_ty_attr_351|Jant Çapı|enum|
product_ty_attr_352|Trendyol Özellik 352|enum|
product_ty_attr_353|Kesit Oranı|enum|
product_ty_attr_355|Mevsim|enum|
product_ty_attr_356|Taban Genişliği|enum|
product_ty_attr_357|Sabit Disk|enum|
product_ty_attr_358|Çözünürlük (Piksel)|enum|
product_ty_attr_359|Curved (Kavisli)|enum|
product_ty_attr_36|Trendyol Özellik 36|enum|
product_ty_attr_360|Ekran Teknolojisi|enum|
